ID,Longitude,Latitude,Timestamp,DAC,Original core file,Original synthetic file
5901076_318,-140.296,49.227,2015-10-01T20:07:36.002Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5901076/profiles/D5901076_318.nc,
5903743_236,-141.626,50.029,2015-10-01T09:57:13.001Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5903743/profiles/D5903743_236.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5903743/profiles/SD5903743_236.nc
4902083_012,-151.212,48.821,2015-10-01T07:16:11.000Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/4902083/profiles/D4902083_012.nc,
4901732_095,-141.8300018310547,51.64059829711914,2015-10-01T06:48:00.000Z,ME,ftp://ftp.ifremer.fr/ifremer/argo/dac/meds/4901732/profiles/D4901732_095.nc,
4901440_137,-147.377,49.81,2015-09-29T21:34:18.002Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/4901440/profiles/D4901440_137.nc,
5903714_255,-141.091,51.502,2015-09-29T19:51:34.002Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5903714/profiles/D5903714_255.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5903714/profiles/SD5903714_255.nc
5904106_125,-146.448,47.166,2015-09-29T05:23:57.000Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5904106/profiles/D5904106_125.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5904106/profiles/SD5904106_125.nc
5901079_309,-144.597,47.474,2015-09-29T03:27:37.000Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5901079/profiles/D5901079_309.nc,
5904491_024,-142.445,47.233,2015-09-28T15:57:50.001Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5904491/profiles/D5904491_024.nc,
5904125_161,-148.845,50.959,2015-09-28T02:54:53.000Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5904125/profiles/D5904125_161.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5904125/profiles/SD5904125_161.nc
4901777_008,-153.2926025390625,48.84809875488281,2015-09-27T08:47:00.000Z,ME,ftp://ftp.ifremer.fr/ifremer/argo/dac/meds/4901777/profiles/D4901777_008.nc,
5903743_235,-141.559,50.038,2015-09-26T10:00:51.001Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5903743/profiles/D5903743_235.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5903743/profiles/SD5903743_235.nc
5904095_130,-146.976,50.508,2015-09-25T21:39:14.002Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5904095/profiles/D5904095_130.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5904095/profiles/SD5904095_130.nc
4901795_008,-143.55299377441406,48.84429931640625,2015-09-25T11:47:00.000Z,ME,ftp://ftp.ifremer.fr/ifremer/argo/dac/meds/4901795/profiles/D4901795_008.nc,
4901774_008,-141.82269287109375,47.81650161743164,2015-09-25T06:01:00.000Z,ME,ftp://ftp.ifremer.fr/ifremer/argo/dac/meds/4901774/profiles/D4901774_008.nc,
5903714_254,-141.05340583556966,51.49047112290803,2015-09-24T13:42:39.001Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5903714/profiles/D5903714_254.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5903714/profiles/SD5903714_254.nc
4902253_015,-146.3793,45.3331,2015-09-23T11:00:29.000Z,JA,ftp://ftp.ifremer.fr/ifremer/argo/dac/jma/4902253/profiles/D4902253_015.nc,
4901766_058,-147.27699279785156,51.608001708984375,2015-09-23T08:50:00.000Z,ME,ftp://ftp.ifremer.fr/ifremer/argo/dac/meds/4901766/profiles/D4901766_058.nc,
5904125_160,-148.884,50.976,2015-09-22T22:10:07.002Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5904125/profiles/D5904125_160.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5904125/profiles/SD5904125_160.nc
4901180_116,-142.81170654296875,50.85060119628906,2015-09-22T10:30:00.000Z,ME,ftp://ftp.ifremer.fr/ifremer/argo/dac/meds/4901180/profiles/D4901180_116.nc,
4901188_116,-145.5612030029297,47.21659851074219,2015-09-22T10:17:59.999Z,ME,ftp://ftp.ifremer.fr/ifremer/argo/dac/meds/4901188/profiles/D4901188_116.nc,
5901075_317,-153.46,47.093,2015-09-22T06:13:53.000Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5901075/profiles/D5901075_317.nc,
5901076_317,-140.394,49.257,2015-09-22T00:59:24.000Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5901076/profiles/D5901076_317.nc,
4900949_117,-147.88,47.221,2015-09-21T22:52:03.999Z,JA,ftp://ftp.ifremer.fr/ifremer/argo/dac/jma/4900949/profiles/D4900949_117.nc,
